File Path,Creation Time
/Users/xander/Git/collection-assistant/gb_data/diy.com/diy.com.levels.mkv,1720735576.9522567
/Users/xander/Git/collection-assistant/gb_data/bloomberg.com/bloomberg.com.privacy-policy.png,1720735228.0798824
/Users/xander/Git/collection-assistant/gb_data/bloomberg.com/bloomberg.com.html,1720735227.538903
/Users/xander/Git/collection-assistant/gb_data/bloomberg.com/bloomberg.com.privacy-policy.html,1720735227.8551364
/Users/xander/Git/collection-assistant/gb_data/bloomberg.com/bloomberg.com.png,1720735227.6707926
/Users/xander/Git/collection-assistant/gb_data/bloomberg.com/bloomberg.com.levels.mkv,1720735233.0810406
/Users/xander/Git/collection-assistant/gb_data/bloomberg.com/bloomberg.com.accept.json,1720735226.8619409
/Users/xander/Git/collection-assistant/gb_data/bloomberg.com/bloomberg.com.accept.mkv,1720735227.3578813
/Users/xander/Git/collection-assistant/gb_data/bloomberg.com/bloomberg.com.reject.mkv,1720735228.9848797
/Users/xander/Git/collection-assistant/gb_data/bloomberg.com/bloomberg.com.no-interaction.json,1720735227.6598165
/Users/xander/Git/collection-assistant/gb_data/bloomberg.com/bloomberg.com.withdraw.mkv,1720735230.4884741
/Users/xander/Git/collection-assistant/gb_data/bloomberg.com/bloomberg.com.reject.json,1720735228.0635068
/Users/xander/Git/collection-assistant/gb_data/bloomberg.com/bloomberg.com.withdraw.json,1720735229.1135023
/Users/xander/Git/collection-assistant/gb_data/bloomberg.com/bloomberg.com.full-page.png,1720735227.4806302
/Users/xander/Git/collection-assistant/gb_data/vancouversun.com/vancouversun.com.html,1720737110.629404
/Users/xander/Git/collection-assistant/gb_data/vancouversun.com/vancouversun.com.png,1720737110.8977773
/Users/xander/Git/collection-assistant/gb_data/vancouversun.com/vancouversun.com.privacy-policy.html,1720737111.0778127
/Users/xander/Git/collection-assistant/gb_data/vancouversun.com/vancouversun.com.levels.mkv,1720737113.387898
/Users/xander/Git/collection-assistant/gb_data/vancouversun.com/vancouversun.com.no-interaction.json,1720737110.732743
/Users/xander/Git/collection-assistant/gb_data/vancouversun.com/vancouversun.com.withdraw.json,1720737111.420197
/Users/xander/Git/collection-assistant/gb_data/vancouversun.com/vancouversun.com.withdraw.mkv,1720737111.5284507
/Users/xander/Git/collection-assistant/gb_data/vancouversun.com/vancouversun.com.full-page.png,1720737110.536683
