domain	CMP_vendor
dn.se	Didomi
expressen.se	Didomi
aftonbladet.se	Sourcepoint
coop.dk	Cookie Information
amazon.de	Custom
pricerunner.dk	OneTrust
dba.dk	Sourcepoint
berlingske.dk	Usercentrics/Cookiebot
politiken.dk	Usercentrics/Cookiebot
bt.dk	Usercentrics/Cookiebot
ekstrabladet.dk	Usercentrics/Cookiebot
mef.gov.it	Matomo
inps.it	Matomo
ebay.it	Custom
subito.it	Didomi
amazon.it	Custom
libero.it	Iubenda
ilfattoquotidiano.it	Iubenda
ansa.it	Iubenda
corriere.it	RCS Media Group
repubblica.it	Iubenda
gencat.cat	Piwik Pro
juntadeandalucia.es	Custom
elcorteingles.es	OneTrust
elespanol.com	Didomi
elconfidencial.com	Didomi
lavanguardia.com	Didomi
abc.es	Didomi
elmundo.es	Didomi
seg-social.pt	OpenGlobal
amazon.es	Custom
olx.pt	OneTrust
worten.pt	Cookiebot
expresso.pt	Didomi
publico.pt	Google Funding Choices
iol.pt	Google Funding Choices
interieur.gouv.fr	tarteaucitron
service-public.fr	Orejime
cdiscount.com	Commanders Act
fnac.com	OneTrust
leboncoin.fr	Didomi
amazon.fr	Custom
rtbf.be	Didomi
sudinfo.be	Didomi
actu.fr	Didomi
lemonde.fr	Iubenda
lefigaro.fr	SFBX AppConsent
ouest-france.fr	Didomi
avocatnet.ro	CookiePro
lege5.ro	Custom (accept-only)
just.ro	Custom
compari.ro	Custom (accept-only)
olx.ro	OneTrust
emag.ro	Custom
stiripesurse.ro	CookiePro
libertatea.ro	CookiePro
adevarul.ro	CookiePro
digi24.ro	CookiePro
tori.fi	Sourcepoint
ampparit.com	Sourcepoint
mtvuutiset.fi	OneTrust
hs.fi	Sourcepoint
yle.fi	Custom
iltalehti.fi	Sourcepoint
kormany.hu	Custom
magyarorszag.hu	Custom (accept-only)
jofogas.hu	Didomi
emag.hu	Custom
arukereso.hu	Custom (accept-only)
blikk.hu	InMobi CMP
24.hu	InMobi CMP
startlap.hu	InMobi CMP
origo.hu	InMobi CMP
index.hu	InMobi CMP
lidl.sk	OneTrust
heureka.sk	Didomi
bazos.sk	TermsFeed
dennikn.sk	Google Funding Choices
cas.sk	Didomi
sme.sk	Google Funding Choices
topky.sk	Didomi
aktuality.sk	Sourcepoint
mpsv.cz	Custom
mfcr.cz	Cookiebot
justice.cz	Custom
kupi.cz	Seznam
bazos.cz	TermsFeed
heureka.cz	Didomi
alza.cz	Custom
centrum.cz	Didomi
denik.cz	Didomi
aktualne.cz	Didomi
idnes.cz	Didomi
lodz.pl	Google Funding Choices
gov.pl	Custom (accept-only)
pepper.pl	Custom
ceneo.pl	Custom
olx.pl	OneTrust
allegro.pl	Custom
gazeta.pl	OneTrust
o2.pl	Custom
interia.pl	Custom
onet.pl	Custom
wp.pl	Custom
socskrb.hr	TermsFeed
gov.hr	Custom
pevex.hr	Cookiebot
njuskalo.hr	Didomi
slobodnadalmacija.hr	Didomi
24sata.hr	Didomi
vecernji.hr	Didomi
jutarnji.hr	Didomi
index.hr	Didomi
aade.gr	Custom
lidl-hellas.gr	OneTrust
public.gr	Cookiebot
bestprice.gr	Custom
skroutz.gr	Custom
in.gr	InMobi CMP
newsbomb.gr	InMobi CMP
iefimerida.gr	InMobi CMP
protothema.gr	InMobi CMP
lex.bg	Custom
government.bg	cookie-bar
ozone.bg	Custom
alo.bg	Google Funding Choices
bazar.bg	CookieScript
emag.bg	Custom
olx.bg	OneTrust
marica.bg	Google Funding Choices
novini.bg	OneTrust
blitz.bg	Google Funding Choices
24chasa.bg	Google Funding Choices
cdc.gov	Custom
rei.com	OneTrust
costco.com	OneTrust
macys.com	OneTrust
mec.ca	OneTrust
lululemon.com	OneTrust
rona.ca	OneTrust
gapcanada.ca	OneTrust
thebay.com	OneTrust
bestbuy.ca	OneTrust
lenecrologue.com	InMobi CMP
revenue.ie	Custom
zbozi.cz	Seznam
novinky.cz	Seznam
clasohlson.com	Custom
interno.gov.it	Matomo
